car_name,enter_time,from_where,other_info,park_name
渝-AR757S,2020-07-21 11:39:17,捷停车,下发成功,西安金辉广场商业物业管理有限公司曲江新区分公司
渝-AG672N,2020-07-21 10:34:00,捷停车,,沪州益佳房地产开发有限公司
粤-A0W7S0,,捷停车,月租车免费!,广东龙光集团物业管理有限公司南宁龙光世纪分公司
粤-B82EZ8,2020-07-20 15:32:41,捷停车,下发成功,南昌九洲物业管理有限公司惠州分公司（顺易通）
苏-DC9A92,1990-01-01 00:00:00,捷停车,"RetCode：2,IDNO：苏-DC9A92,Msg:此车未入场!",上海市浦东新区浦东国际机场P1P2停车场
粤-RNB158,2020-07-20 13:04:10,捷停车,下发成功,汕头市天顺物业管理有限公司
渝-D004L1,2020-07-20 17:59:51,捷停车,订单生成成功,美好幸福物业服务有限公司
粤-N55490,,捷停车,非临时车,汕尾市海丰县海丰碧桂园
car_name,enter_time,from_where,other_info,park_name
苏D335SA,2020-07-21 12:20:40,停简单,,停简单智慧停车场
car_name,enter_time,from_where,other_info,park_name
鄂B68118,2020-07-14 16:38:28,速停车,,速停车智慧停车场
